pathway_id	pathway_name	n_proteins	n_possible_pairs	n_intra_ppi	density	pval_density	frac_missing_biogrid	low_coverage_flag	padj_density
R-HSA-9933937	Formation of the canonical BAF (cBAF) complex	18	153	147	0.9607843137254902	1.54e-321	0.0	False	2.7608e-318
R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	23	253	172	0.6798418972332015	1.3444e-320	0.0	False	1.2038675e-317
R-HSA-73893	DNA Damage Bypass	48	1128	257	0.22783687943262412	3.3947e-320	0.0	False	2.026651e-317
R-HSA-69231	Cyclin D associated events in G1	47	1081	253	0.23404255319148937	1.573876e-318	0.0213	False	5.63762296e-316
R-HSA-69236	G1 Phase	47	1081	253	0.23404255319148937	1.573876e-318	0.0213	False	5.63762296e-316
R-HSA-112315	Transmission across Chemical Synapses	270	36315	951	0.026187525815778604	2.494285e-318	0.0333	False	7.4454421e-316
R-HSA-9933939	Formation of the polybromo-BAF (pBAF) complex	18	153	146	0.954248366013072	5.746764e-318	0.0	False	1.47035064e-315
R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation	42	861	237	0.27526132404181186	2.1299155e-317	0.0	False	4.76834836e-315
R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	36	630	217	0.34444444444444444	1.19254857e-315	0.0	False	2.3731716568e-313
R-HSA-450294	MAP kinase activation	63	1953	298	0.1525857654889913	4.606944467e-315	0.0	False	8.25103754055e-313
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	205	20910	723	0.034576757532281205	7.94624522e-315	0.0341	False	1.29379319911e-312
R-HSA-429914	Deadenylation-dependent mRNA decay	56	1540	277	0.17987012987012987	5.7098766264e-314	0.0	False	8.521990864974e-312
R-HSA-9675126	Diseases of mitotic cell cycle	38	703	222	0.3157894736842105	7.24548026693e-313	0.0	False	9.9820424292837e-311
R-HSA-70326	Glucose metabolism	84	3486	354	0.10154905335628227	7.8384363051292e-310	0.0238	False	1.0027599587490282e-307
R-HSA-8866654	E3 ubiquitin ligases ubiquitinate target proteins	57	1596	277	0.17355889724310777	2.223414370321086e-309	0.0702	False	2.654756758163377e-307
R-HSA-9615933	Postmitotic nuclear pore complex (NPC) reformation	27	351	182	0.5185185185185185	9.09237917604617e-307	0.0	False	1.0177781940186682e-304
R-HSA-72086	mRNA Capping	29	406	188	0.4630541871921182	3.0043121897055394e-304	0.0	False	3.1651312539780127e-302
R-HSA-9009391	Extra-nuclear estrogen signaling	75	2775	324	0.11675675675675676	1.568983789964548e-303	0.0133	False	1.5611388710147253e-301
R-HSA-9013408	RHOG GTPase cycle	74	2701	319	0.11810440577563865	1.7070292825178885e-300	0.0135	False	1.6090997078892308e-298
R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	27	351	179	0.50997150997151	6.037391917195873e-300	0.0	False	5.1490328208084805e-298
R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	27	351	179	0.50997150997151	6.037391917195873e-300	0.0	False	5.1490328208084805e-298
R-HSA-5654738	Signaling by FGFR2	73	2628	314	0.11948249619482496	1.995936704209871e-297	0.0137	False	1.6248739260181269e-295
R-HSA-448424	Interleukin-17 signaling	72	2556	310	0.12128325508607199	1.0247798278695302e-295	0.0278	False	7.979915963975342e-294
R-HSA-8873719	RAB geranylgeranylation	65	2080	289	0.1389423076923077	2.32700201547731e-293	0.0154	False	1.7365252540499426e-291
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	48	1128	241	0.21365248226950354	5.808688241991607e-293	0.0	False	4.161344256562787e-291
R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	26	325	171	0.5261538461538462	7.352385134217736e-290	0.0	False	5.064662221301525e-288
R-HSA-5696400	Dual Incision in GG-NER	41	820	217	0.2646341463414634	1.5457923123259813e-286	0.0	False	1.0253755671762343e-284
R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	26	325	169	0.52	2.7871343327922837e-285	0.1154	False	1.7827705678682072e-283
R-HSA-1433557	Signaling by SCF-KIT	43	903	222	0.24584717607973422	4.660458679077934e-285	0.0	False	2.8782349980098546e-283
R-HSA-73780	RNA Polymerase III Chain Elongation	18	153	136	0.8888888888888888	8.145999626644517e-285	0.0556	False	4.863161777106777e-283
R-HSA-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	28	378	175	0.46296296296296297	2.542361345338622e-283	0.0357	False	1.4688287643553136e-281
R-HSA-174417	Telomere C-strand (Lagging Strand) Synthesis	34	561	193	0.34402852049910876	7.813974386442712e-281	0.0	False	4.373383789412155e-279
R-HSA-72306	tRNA processing	112	6216	406	0.06531531531531531	3.087487546683562e-279	0.0089	False	1.6756636957909877e-277
R-HSA-5218859	Regulated Necrosis	61	1830	268	0.146448087431694	1.4742422222080136e-278	0.0328	False	7.765787705807508e-277
R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	49	1176	233	0.19812925170068027	5.704739625088682e-275	0.0	False	2.9191967624382372e-273
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	72	2556	294	0.11502347417840375	1.1070870058068899e-273	0.0694	False	5.507757853889277e-272
R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	53	1378	243	0.17634252539912917	1.8998155082185946e-273	0.0755	False	9.196133987079737e-272
R-HSA-9646399	Aggrephagy	44	946	217	0.22938689217758984	2.1965889470810188e-271	0.0909	False	1.0352870537426592e-269
R-HSA-199992	trans-Golgi Network Vesicle Budding	72	2556	292	0.11424100156494522	5.871901375275905e-271	0.0	False	2.6965577854151655e-269
R-HSA-112316	Neuronal System	415	85905	1428	0.016623013794307664	1.9561806397362992e-268	0.0506	False	8.75879881441928e-267
R-HSA-1980143	Signaling by NOTCH1	74	2701	295	0.10921880784894483	6.670722935558766e-268	0.0135	False	2.9139670189233536e-266
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	94	4371	347	0.07938686799359414	3.4392761779432218e-267	0.0532	False	1.4666056273086455e-265
R-HSA-3899300	SUMOylation of transcription cofactors	44	946	214	0.226215644820296	3.173876142476282e-266	0.0	False	1.3219563188779119e-264
R-HSA-5620924	Intraflagellar transport	54	1431	240	0.16771488469601678	1.5654977844090913e-264	0.037	False	6.372287572447006e-263
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	12720	525	0.041273584905660375	2.362531224566536e-264	0.05	False	9.402874273774814e-263
R-HSA-6783310	Fanconi Anemia Pathway	38	703	196	0.27880512091038406	4.375159427882879e-264	0.0	False	1.7034588120300514e-262
R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	61	1830	257	0.14043715846994537	2.4148484884070814e-262	0.082	False	9.202114133483155e-261
R-HSA-9933946	Formation of the embryonic stem cell BAF (esBAF) complex	19	171	133	0.7777777777777778	4.2688230462615844e-262	0.0	False	1.5928045991363537e-260
R-HSA-9930044	Nuclear RNA decay	35	595	186	0.3126050420168067	1.7528036160813566e-261	0.0	False	6.406676074289203e-260
R-HSA-8953750	Transcriptional Regulation by E2F6	34	561	183	0.32620320855614976	2.609776317234881e-261	0.0	False	9.348218768335343e-260
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	51	1275	229	0.1796078431372549	9.222008521299376e-260	0.0	False	3.2385524042445455e-258
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	90	4005	329	0.08214731585518102	3.421021733601586e-258	0.0333	False	1.178278831707777e-256
R-HSA-9860931	Response of endothelial cells to shear stress	93	4278	336	0.0785413744740533	2.8602888171147523e-257	0.0323	False	9.665617493306644e-256
R-HSA-6806834	Signaling by MET	79	3081	298	0.0967218435572866	7.183780489899345e-255	0.0	False	2.3826205291499495e-253
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	48	1128	218	0.19326241134751773	7.588929094474188e-255	0.0	False	2.4712312742187768e-253
R-HSA-9013406	RHOQ GTPase cycle	59	1711	245	0.14319111630625364	2.458375782764821e-252	0.0	False	7.86241254809249e-251
R-HSA-141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	21	210	137	0.6523809523809524	1.0227857176158659e-251	0.0	False	3.158291759051751e-250
R-HSA-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	21	210	137	0.6523809523809524	1.0227857176158659e-251	0.0	False	3.158291759051751e-250
R-HSA-73980	RNA Polymerase III Transcription Termination	23	253	144	0.5691699604743083	1.9765549720523047e-251	0.0435	False	6.000016872789283e-250
R-HSA-9013409	RHOJ GTPase cycle	55	1485	233	0.1569023569023569	9.413021037957811e-250	0.0182	False	2.809786779830407e-248
R-HSA-5689896	Ovarian tumor domain proteases	39	741	190	0.2564102564102564	3.585253473649585e-248	0.0	False	1.052653929722362e-246
R-HSA-9933947	Formation of the non-canonical BAF (ncBAF) complex	17	136	119	0.875	1.8580818598590312e-247	0.0	False	5.367459050012137e-246
R-HSA-3214841	PKMTs methylate histone lysines	46	1035	208	0.20096618357487922	4.445734775449195e-247	0.0217	False	1.2638588861634139e-245
R-HSA-9013106	RHOC GTPase cycle	74	2701	279	0.10329507589781563	1.0663095711842405e-246	0.027	False	2.984000690610898e-245
R-HSA-9855142	Cellular responses to mechanical stimuli	103	5253	352	0.06700932800304588	4.262293845142864e-246	0.0291	False	1.1744258887155184e-244
R-HSA-165159	MTOR signalling	51	1275	220	0.17254901960784313	1.5299057363788615e-245	0.0	False	4.151607839173547e-244
R-HSA-8980692	RHOA GTPase cycle	149	11026	473	0.04289860330128786	1.9797209070414993e-245	0.0201	False	5.292059917181082e-244
R-HSA-1538133	G0 and Early G1	27	351	154	0.43874643874643876	7.978062725430319e-245	0.0	False	2.1012809325361328e-243
R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	39	741	187	0.252361673414305	8.015408136292876e-243	0.0	False	2.08052115537689e-241
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	38	703	184	0.26173541963015645	2.919476736519977e-242	0.0	False	7.46968976443897e-241
R-HSA-5205647	Mitophagy	39	741	186	0.25101214574898784	4.795971393513756e-241	0.0	False	1.2098006712370616e-239
R-HSA-438064	Post NMDA receptor activation events	81	3240	291	0.08981481481481482	1.146973707552234e-239	0.0617	False	2.8530970975361818e-238
R-HSA-77387	Insulin receptor recycling	30	435	158	0.3632183908045977	8.734483916046335e-235	0.0	False	2.1429398210464365e-233
R-HSA-177929	Signaling by EGFR	53	1378	218	0.15820029027576196	1.2625114874599624e-234	0.0	False	3.055619018974044e-233
R-HSA-5675482	Regulation of necroptotic cell death	32	496	163	0.3286290322580645	1.3757332749058334e-233	0.0	False	3.28525106047513e-232
R-HSA-73933	Resolution of Abasic Sites (AP sites)	38	703	178	0.2532005689900427	1.6082236887988173e-231	0.0	False	3.789906087682476e-230
R-HSA-9679191	Potential therapeutics for SARS	164	13366	495	0.037034266048181955	6.064802290549837e-229	0.4085	False	1.41065726004867e-227
R-HSA-6802957	Oncogenic MAPK signaling	82	3321	284	0.08551641071966275	5.2249690963310684e-228	0.0122	False	1.1997332886575568e-226
R-HSA-8853884	Transcriptional Regulation by VENTX	39	741	177	0.2388663967611336	3.4048750498911875e-225	0.0256	False	7.719153435892553e-224
R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity	62	1891	233	0.12321523003701745	2.0835188499147516e-224	0.0	False	4.66447782524665e-223
R-HSA-3928662	EPHB-mediated forward signaling	42	861	184	0.21370499419279906	3.629417708889967e-224	0.0	False	8.025045822990038e-223
R-HSA-5213460	RIPK1-mediated regulated necrosis	34	561	163	0.2905525846702317	2.5045357057594004e-223	0.0588	False	5.470272498798885e-222
R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation  	45	990	190	0.1919191919191919	9.516985884967791e-222	0.0222	False	2.0536050265032907e-220
R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	175	15225	516	0.033891625615763546	1.7767885237056666e-221	0.5086	True	3.788366959472439e-220
R-HSA-176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	20	190	121	0.6368421052631579	1.6522126725278648e-220	0.0	False	3.4813092899969484e-219
R-HSA-917977	Transferrin endocytosis and recycling	31	465	153	0.32903225806451614	1.7970654440408782e-219	0.0	False	3.742493267764201e-218
