uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw
P62979	RPS27A	False	442	5.702826	0.936223	483	26.086	201	0.054008	95979	0.00031	111	50697.99104894105
P62987	UBA52	False	436	5.684462	0.935307	404	18.7202	151	0.046337	93377	0.00046	94	75642.87812072106
P0CG47	UBB	False	412	5.633546	0.935646	422	14.3908	123	0.034101	83275	0.00085	133	138771.31726716383
P0CG48	UBC	False	412	5.633546	0.935646	1710	48.7136	511	0.028487	83275	0.00638	439	1039510.8601568736
P60896	SEM1	False	194	4.984438	0.946198	140	24.5258	71	0.175184	18178	5e-05	28	7555.454902717523
P62191	PSMC1	False	178	4.911907	0.947918	358	42.2303	126	0.117962	15267	0.00014	88	22582.23326535561
P62333	PSMC6	False	180	4.909604	0.945435	351	43.2389	124	0.123188	15611	0.00016	84	26355.214701939334
O00487	PSMD14	False	178	4.90958	0.947469	524	49.0506	170	0.093608	15267	0.00148	152	241824.06391082992
O00231	PSMD11	False	177	4.906256	0.947858	363	44.6723	133	0.123064	15093	0.00016	88	25654.881439275603
O00232	PSMD12	False	177	4.906256	0.947858	321	41.5367	115	0.129398	15093	0.00013	76	20805.999597316422
O43242	PSMD3	False	177	4.906256	0.947858	805	52.3785	191	0.065066	15093	0.00122	270	198442.00862772317
P17980	PSMC3	False	177	4.906256	0.947858	429	43.9831	133	0.102524	15093	0.00027	113	43940.778518206214
P35998	PSMC2	False	177	4.906256	0.947858	372	43.8757	128	0.117945	15093	0.0001	82	16452.728552310095
P51665	PSMD7	False	177	4.906256	0.947858	272	39.5311	113	0.145335	15093	8e-05	61	13437.506244354458
Q13200	PSMD2	False	177	4.906256	0.947858	436	45.7684	141	0.104973	15093	0.00028	112	45720.86780737366
Q15008	PSMD6	False	177	4.906256	0.947858	310	41.1073	117	0.132604	15093	8e-05	70	12833.485546632615
Q99460	PSMD1	False	177	4.906256	0.947858	408	45.3164	149	0.111069	15093	0.00015	90	24027.659642206876
Q9UNM6	PSMD13	False	177	4.906256	0.947858	318	41.1864	112	0.129517	15093	0.00011	72	17634.45995534107
P43686	PSMC4	False	176	4.90311	0.948288	343	42.2557	120	0.123194	14919	0.00013	83	20424.479123058874
P48556	PSMD8	False	176	4.90311	0.948288	180	36.9034	79	0.205019	14919	5e-05	41	7886.587326635822
P62195	PSMC5	False	176	4.90311	0.948288	485	48.0511	157	0.099075	14919	0.00039	114	62797.658583473065
Q16186	ADRM1	False	176	4.90311	0.948288	258	43.3466	113	0.16801	14919	6e-05	51	9117.561348595476
P20618	PSMB1	False	178	4.898902	0.945409	351	41.0	122	0.116809	15267	0.00028	84	45159.13264029428
P25787	PSMA2	False	178	4.898902	0.945409	224	39.6404	101	0.176966	15267	5e-05	45	7967.809258183114
P28066	PSMA5	False	178	4.898902	0.945409	351	43.7865	134	0.124748	15267	0.00013	80	20592.080668025803
Q99436	PSMB7	False	178	4.898902	0.945409	215	37.7191	100	0.175438	15267	5e-05	38	7361.182730533437
O14818	PSMA7	False	177	4.895803	0.945839	283	40.2542	114	0.142241	15092	0.00014	59	23553.773337573504
P25786	PSMA1	False	177	4.895803	0.945839	500	44.661	148	0.089322	15092	0.00048	139	78769.22283220025
P25788	PSMA3	False	177	4.895803	0.945839	459	45.6328	157	0.099418	15092	0.0008	111	130989.92758712194
P25789	PSMA4	False	177	4.895803	0.945839	518	44.8644	156	0.086611	15092	0.00045	151	73400.32425168906
P28070	PSMB4	False	177	4.895803	0.945839	224	38.6271	100	0.172443	15092	8e-05	50	12751.514477145896
P28072	PSMB6	False	177	4.895803	0.945839	235	39.6667	107	0.168794	15092	3e-05	48	5328.584926989976
P28074	PSMB5	False	177	4.895803	0.945839	255	38.2542	104	0.150017	15092	8e-05	61	12665.462222725382
P49720	PSMB3	False	177	4.895803	0.945839	206	36.6667	92	0.177993	15092	6e-05	47	10337.043209197655
P49721	PSMB2	False	177	4.895803	0.945839	216	38.4181	93	0.177861	15092	6e-05	48	10226.49362832521
P60900	PSMA6	False	177	4.895803	0.945839	318	43.5254	125	0.136872	15092	0.00014	74	22032.93484568946
P62993	GRB2	False	172	4.761923	0.925095	723	30.3081	267	0.04192	14201	0.00171	249	277941.8443289591
Q99877	H2BC15	False	143	4.675946	0.942191	146	24.965	56	0.170994	9814	5e-05	49	8386.07567545341
P62805	H4C1	False	143	4.672732	0.941543	1855	89.3916	515	0.04819	9816	0.00374	626	610385.3908496099
O60814	H2BC12	False	141	4.659577	0.941565	336	33.1489	91	0.098658	9538	0.00013	127	21771.192516195446
P06899	H2BC11	False	141	4.659577	0.941565	181	30.0496	72	0.16602	9538	5e-05	60	8286.10388439977
P23527	H2BC17	False	141	4.659577	0.941565	152	28.234	57	0.18575	9538	5e-05	54	7669.215007930859
P33778	H2BC3	False	141	4.659577	0.941565	417	43.7092	145	0.104818	9538	0.00015	107	24304.535970170822
P62807	H2BC4	False	141	4.659577	0.941565	771	45.4113	168	0.058899	9538	0.00041	296	67092.83897928942
Q93079	H2BC9	False	141	4.659577	0.941565	445	33.5745	109	0.075448	9538	0.0011	199	179960.41064442316
Q96A08	H2BC1	False	141	4.659577	0.941565	180	24.7376	56	0.137431	9538	3e-05	55	4251.597310647774
Q99879	H2BC14	False	141	4.659577	0.941565	111	20.9787	44	0.188997	9538	5e-05	38	8377.319367812586
Q99880	H2BC13	False	141	4.659577	0.941565	215	30.9007	83	0.143724	9538	8e-05	74	12541.122326562952
Q16778	H2BC21	False	139	4.640672	0.940459	688	52.3165	201	0.076041	9264	0.0012	238	195508.85119492482
Q8N257	H2BC26	False	139	4.640672	0.940459	183	27.4964	56	0.150254	9264	3e-05	66	5351.985443522976
P12931	SRC	False	165	4.616879	0.904216	534	24.5576	218	0.045988	13066	0.0014	170	227755.44952958683
P28482	MAPK1	False	171	4.60884	0.896371	444	21.1345	166	0.0476	13914	0.00046	135	74774.31345991627
P27361	MAPK3	False	170	4.592761	0.894264	341	16.4353	122	0.048197	13758	0.00032	122	51942.928724102436
P27986	PIK3R1	False	151	4.592417	0.91532	362	24.3046	188	0.06714	10919	0.00044	88	72442.80530065038
P16104	H2AX	False	128	4.583224	0.944599	569	41.8281	197	0.073512	7830	0.00047	159	76533.57194468217
P04908	H2AC4	False	131	4.577015	0.938837	593	45.5649	169	0.076838	8205	0.00038	206	61570.068262621775
P20671	H2AC7	False	131	4.577015	0.938837	108	25.8702	51	0.239539	8205	1e-05	26	893.771191724716
Q16777	H2AC20	False	131	4.577015	0.938837	312	32.4656	103	0.104057	8205	0.0002	105	32360.20420151634
Q6FI13	H2AC18	False	131	4.577015	0.938837	184	28.9771	68	0.157484	8205	4e-05	54	6250.093379063376
Q93077	H2AC6	False	131	4.577015	0.938837	104	24.9924	43	0.240311	8205	1e-05	28	887.0755554339116
Q99878	H2AC14	False	131	4.577015	0.938837	145	24.687	57	0.170255	8205	2e-05	42	2655.3112187794013
P01116	KRAS	False	138	4.572211	0.927943	1313	30.5072	374	0.023235	9077	0.00269	614	437940.42976134265
P57053	H2BC12L	False	126	4.567027	0.944326	144	27.0397	48	0.187776	7580	0.00013	61	20854.933340996908
P01112	HRAS	False	131	4.54184	0.931622	684	18.0534	208	0.026394	8148	0.00127	336	206478.44795886904
P01111	NRAS	False	130	4.527983	0.930242	685	15.7	186	0.02292	8023	0.00114	355	185079.3099106919
P0C5Y9	H2AB1	False	117	4.487655	0.942354	22	0.9744	6	0.044289	6513	0.0	10	283.9281639037986
Q71UI9	H2AZ2	False	113	4.463555	0.944191	174	17.5929	64	0.101109	6059	3e-05	64	4965.19942802577
Q9BTM1	H2AJ	False	113	4.463555	0.944191	128	21.4425	39	0.167519	6059	1e-05	66	1924.4619996792287
Q07889	SOS1	False	128	4.46226	0.919669	73	10.3203	43	0.141374	7776	1e-05	18	2165.2640635953276
Q09472	EP300	False	143	4.45256	0.897179	1417	58.6643	408	0.0414	9799	0.00307	406	501043.74017644
P42336	PIK3CA	False	132	4.446925	0.910732	154	11.947	69	0.077578	8313	0.00011	41	18319.14291441658
P68431	H3C1	False	116	4.415615	0.928901	1254	73.0603	323	0.058262	6406	0.00166	445	270754.7032973934
Q71DI3	H3C15	False	116	4.415615	0.928901	335	36.4397	112	0.108775	6406	0.00013	83	20525.162207961217
P30153	PPP2R1A	False	145	4.406759	0.885472	591	25.6966	180	0.04348	9929	0.00054	188	87865.99213999991
P63208	SKP1	False	119	4.404401	0.921592	489	37.5462	167	0.076782	6656	0.0007	126	114384.62354842287
Q13616	CUL1	False	114	4.371362	0.922968	852	44.5789	300	0.052323	6091	0.0015	247	243707.7144124796
P84243	H3-3A	False	103	4.331158	0.934501	968	57.4272	263	0.059326	5023	0.0008	335	130534.59978528493
P67775	PPP2CA	False	134	4.318288	0.881672	444	23.7164	134	0.053415	8438	0.00063	152	103051.5259739814
P19388	POLR2E	False	99	4.282925	0.932059	282	27.6465	136	0.098037	4564	0.00012	65	18955.95788563962
P52434	POLR2H	False	99	4.282925	0.932059	224	23.1414	113	0.10331	4564	5e-05	50	8777.733168200162
P53803	POLR2K	False	99	4.282925	0.932059	148	21.6667	95	0.146396	4564	3e-05	30	4287.552420767659
P61218	POLR2F	False	99	4.282925	0.932059	142	19.6768	91	0.138569	4564	3e-05	31	5319.401363790869
P62875	POLR2L	False	99	4.282925	0.932059	166	17.3535	73	0.104539	4564	4e-05	56	6597.420034773067
Q92793	CREBBP	False	123	4.280114	0.889433	531	33.6911	191	0.063448	7219	0.00082	117	133863.49767833392
P55735	SEC13	False	104	4.264257	0.918152	193	15.8365	61	0.082055	5052	9e-05	50	14438.595650684836
P62877	RBX1	False	108	4.260843	0.910022	555	35.7963	232	0.064498	5514	0.00052	137	85139.81028210961
P62714	PPP2CB	False	125	4.243919	0.878965	258	15.984	72	0.061954	7297	0.00013	113	20684.37066668535
Q06124	PTPN11	False	110	4.239594	0.901949	452	23.8182	144	0.052695	5680	0.00109	181	178114.90485726672
Q13547	HDAC1	False	113	4.214667	0.891542	1101	55.3894	307	0.050308	6040	0.00203	396	331578.3179630179
P04637	TP53	False	115	4.212219	0.88773	2171	86.0957	549	0.039657	6203	0.00854	643	1391997.2963969293
Q96EE3	SEH1L	False	94	4.181645	0.920399	137	24.0319	55	0.175415	4094	6e-05	32	9055.88079585783
P49792	RANBP2	False	93	4.166432	0.919215	365	33.3118	135	0.091265	4011	0.0002	109	33319.21902088525
P52948	NUP98	False	92	4.15491	0.918864	222	30.9457	87	0.139395	3914	0.00022	59	36252.78809082669
P57740	NUP107	False	92	4.15491	0.918864	228	35.1196	91	0.154033	3914	5e-05	56	8537.519797091854
Q12769	NUP160	False	92	4.15491	0.918864	189	26.1087	64	0.138141	3914	4e-05	52	6949.528248813898
Q8NFH3	NUP43	False	92	4.15491	0.918864	599	32.5217	115	0.054293	3914	0.00054	265	88102.53065710339
Q8NFH4	NUP37	False	92	4.15491	0.918864	72	15.1196	32	0.209994	3914	0.0	14	668.2377586510581
Q8WUM0	NUP133	False	92	4.15491	0.918864	196	27.2717	75	0.139142	3914	3e-05	40	5637.628734069162
Q9BW27	NUP85	False	92	4.15491	0.918864	143	20.5326	49	0.143585	3914	4e-05	43	6080.402609523595
P09038	FGF2	False	87	4.148655	0.928961	46	3.2874	29	0.071464	3453	1e-05	6	1007.0322783279101
P30154	PPP2R1B	False	119	4.146023	0.867528	160	12.0588	50	0.075368	6603	5e-05	60	8385.47741666901
P68366	TUBA4A	False	97	4.136192	0.904143	493	27.1649	122	0.055101	4406	0.00068	186	110412.64519442907
P29353	SHC1	False	94	4.12951	0.908924	329	20.2979	155	0.061696	4132	0.00024	92	39185.95057744446
P51668	UBE2D1	False	93	4.123128	0.909661	289	17.6989	141	0.061242	4024	0.0002	73	32367.637999807026
P60709	ACTB	False	108	4.113573	0.878568	981	41.2315	262	0.04203	5524	0.00193	353	314129.1748136676
P68371	TUBB4B	False	96	4.109942	0.900444	555	42.0625	190	0.075788	4313	0.00032	148	52557.84863196462
P17612	PRKACA	False	110	4.103014	0.872892	397	20.7636	138	0.052301	5706	0.00046	108	74994.10442975945
P04350	TUBB4A	False	94	4.100387	0.902514	227	16.234	74	0.071516	4127	8e-05	63	13061.839451500375
Q71U36	TUBA1A	False	94	4.100387	0.902514	688	33.7447	163	0.049048	4127	0.00124	276	201391.16454283588
P31749	AKT1	False	109	4.094349	0.872745	663	38.7982	266	0.058519	5642	0.00112	164	182341.21253900407
Q9Y297	BTRC	False	86	4.080335	0.916034	741	39.6395	244	0.053495	3384	0.00083	244	136077.13101605154
O00459	PIK3R2	False	100	4.079119	0.885769	228	19.84	112	0.087018	4705	0.00013	55	21430.20867781699
P63000	RAC1	False	106	4.05428	0.869376	1200	48.7358	420	0.040613	5294	0.00198	490	322575.5990015701
O15514	POLR2D	False	78	4.027025	0.924327	144	19.8205	77	0.137642	2759	2e-05	37	3698.9323535028952
P19387	POLR2C	False	78	4.027025	0.924327	334	31.6538	135	0.094772	2759	0.00016	107	26214.56029188958
P24928	POLR2A	False	78	4.027025	0.924327	612	53.9744	260	0.088193	2759	0.0005	189	80795.71834041429
P30876	POLR2B	False	78	4.027025	0.924327	372	33.3205	144	0.089571	2759	0.00015	126	24764.92408580339
P36954	POLR2I	False	78	4.027025	0.924327	123	17.9872	68	0.146237	2759	1e-05	29	1795.6138617522415
P52435	POLR2J	False	78	4.027025	0.924327	147	19.2949	67	0.131258	2759	8e-05	48	12971.937634753343
P62487	POLR2G	False	78	4.027025	0.924327	174	21.6026	85	0.124153	2759	5e-05	57	7866.435411387794
O75694	NUP155	False	79	4.021101	0.920277	518	36.5063	127	0.070476	2845	0.00033	235	53481.797956433955
P37198	NUP62	False	79	4.021101	0.920277	265	26.3924	74	0.099594	2845	0.00014	121	23049.238793721524
Q5SRE5	NUP188	False	79	4.021101	0.920277	155	16.4937	52	0.106411	2845	2e-05	61	3942.344374386092
Q7Z3B4	NUP54	False	79	4.021101	0.920277	122	13.8861	35	0.11382	2845	5e-05	55	8098.226056914103
Q8N1F7	NUP93	False	79	4.021101	0.920277	272	26.7848	87	0.098473	2845	8e-05	104	12853.492381460956
Q8NFH5	NUP35	False	79	4.021101	0.920277	428	35.443	103	0.082811	2845	0.00029	198	46991.93396047989
