uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw	cluster	taxonomy	umap_x	umap_y
P62979	RPS27A	False	442	5.702826	0.936223	483	26.086	201	0.054008	95979	0.00031	111	50697.99104894105	2	structural_hub	12.6983	8.0269
P62987	UBA52	False	436	5.684462	0.935307	404	18.7202	151	0.046337	93377	0.00046	94	75642.87812072106	2	structural_hub	12.298	10.3897
P0CG47	UBB	False	412	5.633546	0.935646	422	14.3908	123	0.034101	83275	0.00085	133	138771.31726716383	2	structural_hub	11.7093	12.3437
P0CG48	UBC	False	412	5.633546	0.935646	1710	48.7136	511	0.028487	83275	0.00638	439	1039510.8601568736	2	structural_hub	9.6361	16.5208
P60896	SEM1	False	194	4.984438	0.946198	140	24.5258	71	0.175184	18178	5e-05	28	7555.454902717523	1	pathway_bridge	15.0168	2.8215
P62191	PSMC1	False	178	4.911907	0.947918	358	42.2303	126	0.117962	15267	0.00014	88	22582.23326535561	1	pathway_bridge	14.9271	3.8792
P62333	PSMC6	False	180	4.909604	0.945435	351	43.2389	124	0.123188	15611	0.00016	84	26355.214701939334	1	pathway_bridge	14.9249	3.9026
O00487	PSMD14	False	178	4.90958	0.947469	524	49.0506	170	0.093608	15267	0.00148	152	241824.06391082992	2	structural_hub	10.6174	14.6942
O00231	PSMD11	False	177	4.906256	0.947858	363	44.6723	133	0.123064	15093	0.00016	88	25654.881439275603	1	pathway_bridge	14.9224	3.8965
O00232	PSMD12	False	177	4.906256	0.947858	321	41.5367	115	0.129398	15093	0.00013	76	20805.999597316422	1	pathway_bridge	14.9172	3.8806
O43242	PSMD3	False	177	4.906256	0.947858	805	52.3785	191	0.065066	15093	0.00122	270	198442.00862772317	2	structural_hub	10.9093	14.0439
P17980	PSMC3	False	177	4.906256	0.947858	429	43.9831	133	0.102524	15093	0.00027	113	43940.778518206214	2	structural_hub	12.7114	7.9508
P35998	PSMC2	False	177	4.906256	0.947858	372	43.8757	128	0.117945	15093	0.0001	82	16452.728552310095	1	pathway_bridge	14.934	3.6392
P51665	PSMD7	False	177	4.906256	0.947858	272	39.5311	113	0.145335	15093	8e-05	61	13437.506244354458	1	pathway_bridge	15.0624	3.0258
Q13200	PSMD2	False	177	4.906256	0.947858	436	45.7684	141	0.104973	15093	0.00028	112	45720.86780737366	2	structural_hub	12.6875	7.9713
Q15008	PSMD6	False	177	4.906256	0.947858	310	41.1073	117	0.132604	15093	8e-05	70	12833.485546632615	1	pathway_bridge	15.0602	3.0508
Q99460	PSMD1	False	177	4.906256	0.947858	408	45.3164	149	0.111069	15093	0.00015	90	24027.659642206876	1	pathway_bridge	14.9252	3.8911
Q9UNM6	PSMD13	False	177	4.906256	0.947858	318	41.1864	112	0.129517	15093	0.00011	72	17634.45995534107	1	pathway_bridge	14.9363	3.7257
P43686	PSMC4	False	176	4.90311	0.948288	343	42.2557	120	0.123194	14919	0.00013	83	20424.479123058874	1	pathway_bridge	14.9268	3.8762
P48556	PSMD8	False	176	4.90311	0.948288	180	36.9034	79	0.205019	14919	5e-05	41	7886.587326635822	1	pathway_bridge	15.0583	2.8579
P62195	PSMC5	False	176	4.90311	0.948288	485	48.0511	157	0.099075	14919	0.00039	114	62797.658583473065	2	structural_hub	12.3618	10.1593
Q16186	ADRM1	False	176	4.90311	0.948288	258	43.3466	113	0.16801	14919	6e-05	51	9117.561348595476	1	pathway_bridge	15.069	2.894
P20618	PSMB1	False	178	4.898902	0.945409	351	41.0	122	0.116809	15267	0.00028	84	45159.13264029428	2	structural_hub	12.7099	7.9598
P25787	PSMA2	False	178	4.898902	0.945409	224	39.6404	101	0.176966	15267	5e-05	45	7967.809258183114	1	pathway_bridge	15.0511	2.8514
P28066	PSMA5	False	178	4.898902	0.945409	351	43.7865	134	0.124748	15267	0.00013	80	20592.080668025803	1	pathway_bridge	14.9668	3.8464
