gene1	gene2	annotation	direction	score	ann_class	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	mean_global_degree	betweenness_g1	betweenness_g2	mean_betweenness	taxonomy_g1	taxonomy_g2
A1CF	EP300	expression regulated by	<-	1.0	expression	2	143	2.0	58.664	30.332	0.0625	0.0414	32	1417	724.5	1e-05	0.00307	0.00154	background	structural_hub
AAAS	IPO8	catalyze	->	1.0	catalyze	80	3	12.488	15.333	13.91	0.0748	0.0755	167	203	185.0	4e-05	0.00011	7.500000000000001e-05	pathway_bridge	specialist
AAK1	WNK2	predicted	-	0.92	predicted	4	3	22.75	4.0	13.375	0.2031	0.1143	112	35	73.5	2e-05	0.0	1e-05	specialist	specialist
AARS1	CEBPB	expression regulated by	<-	1.0	expression	4	23	19.5	108.217	63.859	0.1161	0.0764	168	1416	792.0	4e-05	0.00149	0.0007650000000000001	background	structural_hub
AARS1	HSP90AA1	predicted	-	0.9	predicted	4	104	19.5	54.731	37.115	0.1161	0.0428	168	1279	723.5	4e-05	0.00416	0.0021	background	structural_hub
AARS1	NSUN2	predicted	-	0.88	predicted	4	3	19.5	16.0	17.75	0.1161	0.0541	168	296	232.0	4e-05	6e-05	5e-05	background	specialist
AARS1	SOD1	predicted	-	0.88	predicted	4	14	19.5	33.643	26.571	0.1161	0.0807	168	417	292.5	4e-05	0.0003	0.00016999999999999999	background	structural_hub
AARS1	TPD52	predicted	-	0.89	predicted	4	4	19.5	7.0	13.25	0.1161	0.0642	168	109	138.5	4e-05	2e-05	3.0000000000000004e-05	background	specialist
AATF	BMS1	predicted	-	0.93	predicted	5	5	14.8	38.6	26.7	0.0451	0.1664	328	232	280.0	4e-05	2e-05	3.0000000000000004e-05	specialist	specialist
AATF	BYSL	predicted	-	0.96	predicted	5	4	14.8	59.0	36.9	0.0451	0.1653	328	357	342.5	4e-05	0.00025	0.000145	specialist	structural_hub
AATF	DCAF13	predicted	-	0.96	predicted	5	8	14.8	37.875	26.338	0.0451	0.1683	328	225	276.5	4e-05	6e-05	5e-05	specialist	pathway_bridge
AATF	DHX37	predicted	-	0.89	predicted	5	5	14.8	16.4	15.6	0.0451	0.1224	328	134	231.0	4e-05	1e-05	2.5e-05	specialist	specialist
AATF	E2F2	complex; input	-	1.0	complex	5	15	14.8	7.6	11.2	0.0451	0.2171	328	35	181.5	4e-05	0.0	2e-05	specialist	pathway_bridge
AATF	EMG1	predicted	-	0.95	predicted	5	5	14.8	4.8	9.8	0.0451	0.05	328	96	212.0	4e-05	2e-05	3.0000000000000004e-05	specialist	specialist
AATF	FBL	predicted	-	0.91	predicted	5	5	14.8	99.2	57.0	0.0451	0.1533	328	647	487.5	4e-05	0.00023	0.000135	specialist	structural_hub
AATF	FCF1	predicted	-	0.89	predicted	5	5	14.8	8.2	11.5	0.0451	0.0891	328	92	210.0	4e-05	3e-05	3.5000000000000004e-05	specialist	specialist
AATF	HEATR1	predicted	-	0.95	predicted	5	5	14.8	14.2	14.5	0.0451	0.0594	328	239	283.5	4e-05	0.0001	7.000000000000001e-05	specialist	specialist
AATF	IMP3	predicted	-	0.94	predicted	5	5	14.8	21.2	18.0	0.0451	0.1828	328	116	222.0	4e-05	1e-05	2.5e-05	specialist	specialist
AATF	IMP4	predicted	-	0.95	predicted	5	5	14.8	31.0	22.9	0.0451	0.287	328	108	218.0	4e-05	1e-05	2.5e-05	specialist	specialist
