metric	class_a	class_b	n_a	n_b	median_a	median_b	U_stat	pval	rank_biserial	padj_bh
mean_local_degree	complex	predicted	1136	8010	11.917	24.604	2768298.0	1.6694540596196965e-101	-0.3915	1.7529267626006811e-99
mean_local_degree	predicted	other	8010	456	24.604	6.4295	2875820.0	5.929356650455052e-95	0.5747	3.112912241488902e-93
mean_global_degree	predicted	other	8010	456	255.5	62.5	2855956.0	1.8246819458435966e-91	0.5638	6.386386810452588e-90
mean_global_degree	expression	predicted	3430	8010	158.0	255.5	10563574.5	1.3084025596695354e-85	-0.231	3.43455671913253e-84
mean_local_degree	expression	predicted	3430	8010	16.6025	24.604	10581411.5	1.1353739149793262e-84	-0.2297	2.384285221456585e-83
mean_local_degree	expression	other	3430	456	16.6025	6.4295	1186915.5	2.4338207387908536e-72	0.5177	4.259186292883994e-71
mean_global_degree	complex	predicted	1136	8010	146.5	255.5	3064637.5	4.033815753739318e-71	-0.3264	6.050723630608977e-70
mean_betweenness	predicted	other	8010	456	0.0001	0.0	2661932.0	6.472457656769811e-61	0.4576	8.495100674510376e-60
mean_local_degree	catalyze	predicted	532	8010	11.668	24.604	1229745.0	3.8935526266863303e-60	-0.4228	4.542478064467386e-59
mean_local_degree	activate	predicted	815	8010	13.757	24.604	2159009.5	2.9498514282193854e-57	-0.3386	3.097343999630355e-56
mean_global_degree	expression	other	3430	456	158.0	62.5	1131636.5	2.1144892925369436e-54	0.447	2.0183761428761735e-53
mean_global_degree	catalyze	predicted	532	8010	127.25	255.5	1304585.5	7.569788391208639e-51	-0.3877	6.62356484230756e-50
mean_betweenness	expression	predicted	3430	8010	0.0001	0.0001	11507788.0	3.458002887485361e-43	-0.1623	2.7930023321997144e-42
mean_global_degree	activate	other	815	456	160.5	62.5	268674.5	8.678759109306442e-40	0.4459	6.509069331979832e-39
mean_local_degree	activate	other	815	456	13.757	6.4295	263787.5	1.9814668333808108e-35	0.4196	1.3870267833665676e-34
mean_betweenness	activate	other	815	456	0.0001	0.0	262810.0	1.2225828725769255e-34	0.4143	8.023200101286073e-34
ratio_g2	expression	predicted	3407	7898	0.1136	0.0941	15374713.5	1.685739858626269e-33	0.1427	1.0411922656221073e-32
mean_betweenness	expression	other	3430	456	0.0001	0.0	1047828.0	3.256068440910857e-32	0.3399	1.899373257198e-31
mean_global_degree	activate	predicted	815	8010	160.5	255.5	2478171.0	8.142622950123817e-30	-0.2408	4.499870577700004e-29
mean_local_degree	expression	complex	3430	1136	16.6025	11.917	2375940.5	1.166102353844951e-28	0.2195	6.122037357685993e-28
mean_betweenness	complex	predicted	1136	8010	0.0001	0.0001	3657366.5	8.480093174405643e-27	-0.1961	4.240046587202821e-26
mean_betweenness	catalyze	predicted	532	8010	0.0001	0.0001	1542485.5	1.2394812841706828e-26	-0.2761	5.915706128996441e-26
mean_global_degree	complex	other	1136	456	146.5	62.5	346529.5	4.857878990682168e-26	0.3379	2.2177273653114245e-25
ratio_g2	activate	expression	805	3407	0.088	0.1136	1045798.5	9.536377950157836e-26	-0.2374	4.172165353194053e-25
mean_betweenness	complex	other	1136	456	0.0001	0.0	344089.5	9.736119812457547e-25	0.3285	4.08917032123217e-24
ratio_g2	expression	complex	3407	1130	0.1136	0.094	2314792.5	1.6596429132796096e-24	0.2025	6.702404072859962e-24
mean_local_degree	catalyze	expression	532	3430	11.668	16.6025	663870.5	4.359191648670197e-24	-0.2724	1.695241196705077e-23
mean_local_degree	complex	other	1136	456	11.917	6.4295	336859.0	6.115170860980669e-21	0.3006	2.293189072867751e-20
mean_local_degree	inhibit	predicted	230	8010	13.414	24.604	615484.0	8.440419882030343e-18	-0.3318	3.0560140952178825e-17
mean_local_degree	inhibit	other	230	456	13.414	6.4295	72539.0	2.360087205466916e-16	0.3833	8.260305219134206e-16
mean_global_degree	inhibit	predicted	230	8010	132.0	255.5	634935.5	8.513668836640378e-16	-0.3107	2.8836620253136764e-15
mean_global_degree	inhibit	other	230	456	132.0	62.5	71649.5	4.532388507072884e-15	0.3663	1.48718997888329e-14
ratio_g2	activate	other	805	451	0.088	0.1078	133835.5	1.0307970031169056e-14	-0.2627	3.279808646281063e-14
mean_global_degree	catalyze	expression	532	3430	127.25	158.0	730697.5	1.3519987647933275e-13	-0.1991	4.1752903030382174e-13
mean_betweenness	inhibit	other	230	456	0.0001	0.0	70404.0	2.0382082978564655e-13	0.3426	6.114624893569397e-13
ratio_g2	catalyze	expression	525	3407	0.0913	0.1136	726277.5	3.881845000062879e-12	-0.1879	1.1322047916850062e-11
ratio_g2	complex	other	1130	451	0.094	0.1078	200665.0	3.893485852149872e-11	-0.2125	1.1049081472317204e-10
mean_global_degree	catalyze	other	532	456	127.25	62.5	149325.5	3.64504501026172e-10	0.2311	1.0071834896775806e-09
mean_local_degree	activate	expression	815	3430	13.757	16.6025	1200756.0	3.7801944616343497e-10	-0.1409	1.0177446627477095e-09
ratio_g1	complex	predicted	1082	7896	0.0866	0.0975	3782919.5	9.731309847662537e-10	-0.1144	2.554468835011416e-09
