pathway_id	pathway_name	n_ppi	n_noppi	median_ppi	median_noppi	delta_median	pval	rbc	padj_bh
R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	3	52	0.8201	0.25	0.57	3.8117019249094724e-05	1.0	9.453692439312921e-05
R-HSA-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	3	102	0.6435	0.2162	0.4273	0.00028272698175610796	0.9412	0.0006106468953786015
R-HSA-9912633	Antigen processing: Ub, ATP-independent proteasomal degradation	166	5	0.7332	0.1845	0.5487	0.0001973965050318771	0.9325	0.0004346840899593747
R-HSA-196807	Nicotinate metabolism	3	403	0.8581	0.321	0.537	0.0027993366447537802	0.9289	0.005161658944311282
R-HSA-9824272	Somitogenesis	501	445	0.755	0.2751	0.4799	6.749014094373568e-118	0.8675	9.499237337830796e-116
R-HSA-351202	Metabolism of polyamines	504	500	0.7527	0.331	0.4217	2.41433655018763e-123	0.8601	4.530904925852119e-121
R-HSA-9933946	Formation of the embryonic stem cell BAF (esBAF) complex	133	38	0.6868	0.0969	0.59	1.1236994899275985e-15	0.8445	6.243185652920112e-15
R-HSA-5686938	Regulation of TLR by endogenous ligand	13	218	0.827	0.1987	0.6282	1.7877772828419902e-07	0.8412	5.740600438631409e-07
R-HSA-2142753	Arachidonate metabolism	12	500	0.6633	0.1751	0.4882	3.3001561455037534e-07	0.8397	1.02087247797726e-06
R-HSA-9948001	CASP4 inflammasome assembly	3	33	0.7863	0.04	0.7463	0.005742296918767507	0.8384	0.009896672954896246
R-HSA-71291	Metabolism of amino acids and derivatives	4016	500	0.9078	0.2117	0.6962	1.0532489577971519e-200	0.8271	1.7789374897193898e-197
R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	5	148	0.5655	0.1991	0.3664	0.00021818651176378393	0.8243	0.00047735365073708685
R-HSA-5620922	BBSome-mediated cargo-targeting to cilium	51	202	0.8235	0.5177	0.3058	5.524707207324509e-19	0.8	3.494842873846852e-18
R-HSA-211999	CYP2E1 reactions	3	33	0.6831	0.2715	0.4116	0.009383753501400562	0.798	0.015553640494470607
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	495	208	0.7553	0.4122	0.3431	5.439394216730835e-63	0.7978	1.4354901300091222e-61
R-HSA-389661	Glyoxylate metabolism and glycine degradation	6	114	0.6118	0.0597	0.5521	0.00014654785170823263	0.7953	0.00033403417211228735
R-HSA-1483249	Inositol phosphate metabolism	250	500	0.8477	0.4104	0.4373	4.734239660009752e-70	0.79	1.5087039218408437e-68
R-HSA-9711097	Cellular response to starvation	3129	500	0.9331	0.4931	0.4401	4.582399672994555e-176	0.7861	3.8698365238439025e-173
R-HSA-5358346	Hedgehog ligand biogenesis	639	500	0.7397	0.3245	0.4152	2.6567329291507285e-114	0.7826	3.2051585123825577e-112
R-HSA-9793380	Formation of paraxial mesoderm	560	500	0.7551	0.381	0.3741	2.5803009897618757e-105	0.7735	2.5636049245340046e-103
R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes	14	176	0.6823	0.28	0.4023	7.55760504429361e-07	0.7735	2.2632615106049483e-06
R-HSA-9018677	Biosynthesis of DHA-derived SPMs	3	117	0.4623	0.1939	0.2684	0.008125623130608176	0.7721	0.013574854072796447
R-HSA-5619102	SLC transporter disorders	275	500	0.8393	0.2353	0.604	1.2516581699191648e-70	0.769	4.0654820172951333e-69
R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	30	48	0.6948	0.3648	0.33	6.954443386970049e-09	0.7681	2.457333657027701e-08
R-HSA-5387390	Hh mutants abrogate ligand secretion	633	402	0.7407	0.4376	0.3031	1.1365546481293929e-94	0.7592	6.8558600024662315e-93
R-HSA-2408522	Selenoamino acid metabolism	2831	500	0.9386	0.5676	0.371	3.127536153284765e-161	0.7572	1.7608028542993226e-158
R-HSA-211981	Xenobiotics	12	198	0.7279	0.1896	0.5383	6.902509609822462e-06	0.7483	1.8713224287303592e-05
R-HSA-4608870	Asymmetric localization of PCP proteins	590	500	0.7394	0.4365	0.303	4.3442846241711167e-100	0.7445	3.668748365112508e-98
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	631	189	0.7247	0.3942	0.3305	5.357372269757002e-54	0.739	1.0521629957697181e-52
R-HSA-8851680	Butyrophilin (BTN) family interactions	5	61	0.9384	0.3969	0.5415	0.00215241747499812	0.7311	0.004052879727170373
R-HSA-156588	Glucuronidation	5	185	0.6672	0.4022	0.265	0.0015292744160110203	0.7276	0.0029485667678568646
R-HSA-5099900	WNT5A-dependent internalization of FZD4	45	60	0.5717	0.2477	0.324	1.5154843257196852e-10	0.7207	6.065528497963384e-10
R-HSA-376176	Signaling by ROBO receptors	4078	500	0.9045	0.5334	0.3711	4.667496670721483e-152	0.7179	1.970850469212146e-149
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	3805	500	0.914	0.5866	0.3274	4.487640519537838e-148	0.7111	1.5159249674998816e-145
R-HSA-2142691	Synthesis of Leukotrienes (LT) and Eoxins (EX)	5	166	0.5655	0.2435	0.3219	0.0035630992708065787	0.7084	0.006443334762732667
R-HSA-5619084	ABC transporter disorders	695	500	0.7285	0.3022	0.4263	2.8107097122569165e-97	0.7078	2.0640385669573617e-95
R-HSA-180534	Vpu mediated degradation of CD4	581	160	0.7392	0.3903	0.3489	4.9982363954846995e-43	0.7067	6.97687708427575e-42
